,Arrest,Arrest
,mean,count
142,1,4
461,1,18
486,0.211815252,18620
1507,1,4
1512,1,23
1513,1,48
1515,1,1
1525,1,1
1536,1,9
1549,1,10
1651,1,3
820,0.035405823,17483
1670,1,4
1680,1,5
460,0.170183591,13127
810,0.030450013,11133
560,0.136265126,11074
1840,1,2
1850,1,2
2010,1,4
2011,1,15
2012,1,68
2013,1,41
1310,0.073953074,10101
2015,1,10
2016,1,20
2018,1,25
2020,1,53
1320,0.036253143,9544
860,0.424649176,8195
890,0.01269961,7953
910,0.042525136,6067
610,0.044402456,4234
143A,0.910653976,3257
1330,0.672946263,3238
2029,1,8
2031,1,94
2032,1,8
2033,1,4
2034,1,6
2040,1,1
2091,1,23
1150,0.011329557,3001
2095,1,63
2110,1,11
2160,1,3
2210,1,36
2220,1,17
2230,1,13
2251,1,1
3961,1,1
4310,1,6
4510,1,4
4625,1,15
4740,1,1
4860,1,7
5009,1,2
5013,1,1
2820,0.010653409,2816
620,0.054144884,2678
1153,0.008572653,2333
051A,0.209003215,2177
320,0.082096475,2156
2024,1,2108
1480,0.984126984,63
2826,0.015972894,2066
031A,0.055165496,1994
2825,0.009783728,1942
1130,0.00599455,1835
2090,0.976190476,42
1478,0.965517241,58
1479,0.964912281,57
1540,0.961538462,26
3730,0.961538462,78
870,0.008781559,1822
430,0.12739726,1460
5132,0.882352941,17
4387,0.334489938,1441
520,0.270127916,1329
1537,0.857142857,14
1541,0.857142857,14
1460,0.852459016,61
041A,0.052631579,1254
2027,0.999155405,1184
1335,0.833333333,24
3750,0.833333333,12
1152,0.002744739,1093
3760,0.8,25
1365,0.258636788,1071
143B,0.775,80
141C,0.770114943,87
1791,0.75,4
3920,0.75,4
5121,0.75,4
143C,0.743243243,74
5131,0.682926829,41
1811,1,1053
2840,0.666666667,9
3100,0.666666667,12
4652,0.666666667,3
5002,0.117886179,984
2900,0.65,40
5130,0.625,24
4388,0.615384615,13
462,0.607142857,28
497,0.201461378,958
1725,0.6,5
553,0.58974359,39
453,0.589285714,56
1822,1,957
2890,0.526315789,95
1535,0.5,2
1900,0.5,4
3910,0.5,2
2860,0.492307692,65
550,0.485714286,35
1200,0.484848485,33
1154,0.004592423,871
3800,0.4,5
558,0.394736842,38
281,0.033918129,855
470,0.876905041,853
051B,0.348837209,86
557,0.341463415,41
1812,0.998769988,813
488,0.333333333,12
584,0.333333333,27
1030,0.333333333,3
142A,0.333333333,3
530,0.214374226,807
552,0.307692308,26
3731,0.980148883,806
2014,1,764
555,0.296296296,27
1151,0.296296296,27
483,0.288888889,45
3300,0.285714286,7
502P,0.662216288,749
1305,0.10828877,748
2093,1,714
1210,0.390140845,710
1340,0.265060241,83
331,0.263157895,38
1170,0.259259259,27
141A,0.111607143,672
420,0.155922039,667
041B,0.25,4
487,0.25,4
556,0.25,8
935,0.25,20
1370,0.25,4
1565,0.25,24
1720,0.25,8
4389,0.235294118,17
275,0.222222222,9
482,0.222222222,9
1360,0.274924471,662
502R,0.834609495,653
1477,0.096477795,653
1750,0.11627907,645
4386,0.211764706,85
498,0.309006211,644
485,0.205479452,73
496,0.306946688,619
484,0.363481229,586
033B,0.2,5
475,0.2,10
1755,0.193548387,31
1025,0.19047619,42
263,0.181818182,22
4220,0.181818182,11
454,0.823843416,562
2092,0.998141264,538
1345,0.201923077,520
291,0.166666667,60
452,0.166666667,6
925,0.166666667,6
1590,0.166666667,6
502T,0.166666667,18
545,0.305609284,517
930,0.213973799,458
1506,1,452
1821,1,441
2022,1,419
266,0.144578313,83
264,0.142857143,7
334,0.137931034,58
1121,0.071428571,406
1122,0.032098765,405
110,0.165829146,398
880,0.020408163,392
1350,0.857512953,386
5111,0.981818182,385
2028,1,383
5000,0.079155673,379
1563,0.092957746,355
850,0.125356125,351
1120,0.063400576,347
4230,0.111111111,36
337,0.108695652,46
330,0.15727003,337
3710,0.945945946,333
1156,0.00308642,324
2017,0.99375,320
630,0.096153846,312
1753,0.090909091,33
1710,0.270627063,303
326,0.077441077,297
312,0.113475177,282
1780,0.014234875,281
5011,0.179856115,278
1206,0.101886792,265
583,0.076923077,13
1261,0.076923077,26
1585,0.075,80
340,0.111111111,261
1110,0.011494253,261
1754,0.072289157,83
4650,0.603921569,255
2870,0.066666667,30
500N,0.066666667,15
313,0.087649402,251
1220,0.558951965,229
1240,0.0625,16
1792,0.0625,48
1140,0.058823529,17
495,0.221238938,226
2021,1,214
5001,0.114832536,209
554,0.852216749,203
1090,0.05,40
1544,0.048780488,41
3960,0.047619048,84
2170,0.994949495,198
1020,0.051282051,195
1582,0.042553191,94
1752,0.026455026,189
1195,0.04,25
650,0.117647059,187
1570,0.281609195,174
033A,0.063218391,174
5112,0.976744186,172
265,0.047058824,170
2026,1,167
920,0.03164557,158
031B,0.03030303,33
261,0.028571429,35
1581,0.034013605,147
1751,0.025641026,78
4651,0.173611111,144
440,0.253623188,138
2023,1,137
3970,0.02,50
1790,0.018867925,53
501A,0.087591241,137
580,0.088235294,136
2851,0.014705882,68
325,0.073529412,136
917,0.022058824,136
141B,0.024590164,122
2250,0.983333333,120
5110,0.991596639,119
1562,0.151260504,119
2025,1,118
1661,1,117
915,0.017699115,113
479,0.162162162,111
5007,0.783018868,106
2850,0.122641509,106
262,0,1
271,0,3
273,0,5
274,0,1
450,0,2
551,0,2
581,0,1
865,0,24
895,0,18
918,0,6
927,0,5
928,0,1
938,0,1
1010,0,3
1050,0,8
1055,0,2
1135,0,3
1155,0,54
1185,0,11
1205,0,9
1241,0,2
1242,0,84
1245,0,3
1375,0,9
1481,0,3
1564,0,2
1566,0,2
1576,0,1
1580,0,1
1682,0,1
1715,0,3
2830,0,12
2895,0,1
3966,0,2
3980,0,1
4210,0,10
4255,0,26
4800,0,2
5003,0,5
5004,0,27
500E,0,4
501H,0,2
5114,0,1
IUCR,,
