Community Area,mean,count
1,0.145473042,2949
2,0.116996951,2624
3,0.189010133,2566
4,0.120805369,1341
5,0.095135135,925
6,0.147212544,4592
7,0.075352747,3331
8,0.178206465,9590
9,0.080924855,173
10,0.122401848,866
11,0.146052632,760
12,0.069164265,347
13,0.07980456,614
14,0.129275362,1725
15,0.148065807,2249
16,0.105894627,1917
17,0.131394183,997
18,0.097156398,422
19,0.184297273,3337
20,0.215075377,995
21,0.149208283,1642
22,0.152074967,3735
23,0.375422229,6217
24,0.119218358,5578
25,0.24442289,11341
26,0.458035532,4897
27,0.292965517,3625
28,0.168956238,7061
29,0.391972178,6901
30,0.253370787,3560
31,0.223189984,1837
32,0.157663163,8182
33,0.138707335,1377
34,0.158163265,784
35,0.163697641,2077
36,0.09922179,514
37,0.294117647,714
38,0.210346139,2629
39,0.115799804,1019
40,0.191313909,1819
41,0.088522131,1333
42,0.205316544,2859
43,0.209882072,6699
44,0.239916682,5281
45,0.249031008,1032
46,0.273310914,3271
47,0.250825083,303
48,0.245179063,1089
49,0.255568581,5118
50,0.324532453,909
51,0.268327402,1405
52,0.240691489,752
53,0.217835262,2938
54,0.245901639,1098
55,0.135734072,361
56,0.175378267,1454
57,0.133768352,613
58,0.172919109,1706
59,0.158805031,636
60,0.177317732,1111
61,0.230045524,3295
62,0.171107994,713
63,0.200962696,1662
64,0.129602356,679
65,0.137254902,1275
66,0.190443053,4311
67,0.252462816,5177
68,0.259385666,4688
69,0.236782046,5258
70,0.117717718,1665
71,0.261186441,5900
72,0.091042584,681
73,0.23364486,2461
74,0.142857143,308
75,0.213498623,1452
76,0.213372665,1017
77,0.122626988,1949
