,mean,count
IUCR,,
110,0.165829146,398
142,1,4
261,0.028571429,35
262,0,1
263,0.181818182,22
264,0.142857143,7
265,0.047058824,170
266,0.144578313,83
271,0,3
273,0,5
274,0,1
275,0.222222222,9
281,0.033918129,855
291,0.166666667,60
312,0.113475177,282
313,0.087649402,251
031A,0.055165496,1994
031B,0.03030303,33
320,0.082096475,2156
325,0.073529412,136
326,0.077441077,297
330,0.15727003,337
331,0.263157895,38
334,0.137931034,58
337,0.108695652,46
033A,0.063218391,174
033B,0.2,5
340,0.111111111,261
041A,0.052631579,1254
041B,0.25,4
420,0.155922039,667
430,0.12739726,1460
440,0.253623188,138
450,0,2
452,0.166666667,6
453,0.589285714,56
454,0.823843416,562
460,0.170183591,13127
461,1,18
462,0.607142857,28
470,0.876905041,853
475,0.2,10
479,0.162162162,111
482,0.222222222,9
483,0.288888889,45
484,0.363481229,586
485,0.205479452,73
486,0.211815252,18620
487,0.25,4
488,0.333333333,12
495,0.221238938,226
496,0.306946688,619
497,0.201461378,958
498,0.309006211,644
051A,0.209003215,2177
051B,0.348837209,86
520,0.270127916,1329
530,0.214374226,807
545,0.305609284,517
550,0.485714286,35
551,0,2
552,0.307692308,26
553,0.58974359,39
554,0.852216749,203
555,0.296296296,27
556,0.25,8
557,0.341463415,41
558,0.394736842,38
560,0.136265126,11074
580,0.088235294,136
581,0,1
583,0.076923077,13
584,0.333333333,27
610,0.044402456,4234
620,0.054144884,2678
630,0.096153846,312
650,0.117647059,187
810,0.030450013,11133
820,0.035405823,17483
850,0.125356125,351
860,0.424649176,8195
865,0,24
870,0.008781559,1822
880,0.020408163,392
890,0.01269961,7953
895,0,18
910,0.042525136,6067
915,0.017699115,113
917,0.022058824,136
918,0,6
920,0.03164557,158
925,0.166666667,6
927,0,5
928,0,1
930,0.213973799,458
935,0.25,20
938,0,1
1010,0,3
1020,0.051282051,195
1025,0.19047619,42
1030,0.333333333,3
1050,0,8
1055,0,2
1090,0.05,40
1110,0.011494253,261
1120,0.063400576,347
1121,0.071428571,406
1122,0.032098765,405
1130,0.00599455,1835
1135,0,3
1140,0.058823529,17
1150,0.011329557,3001
1151,0.296296296,27
1152,0.002744739,1093
1153,0.008572653,2333
1154,0.004592423,871
1155,0,54
1156,0.00308642,324
1170,0.259259259,27
1185,0,11
1195,0.04,25
1200,0.484848485,33
1205,0,9
1206,0.101886792,265
1210,0.390140845,710
1220,0.558951965,229
1240,0.0625,16
1241,0,2
1242,0,84
1245,0,3
1261,0.076923077,26
1305,0.10828877,748
1310,0.073953074,10101
1320,0.036253143,9544
1330,0.672946263,3238
1335,0.833333333,24
1340,0.265060241,83
1345,0.201923077,520
1350,0.857512953,386
1360,0.274924471,662
1365,0.258636788,1071
1370,0.25,4
