year,month,day,dayofyear,weekofyear,dayofweek,quarter,battery,damage,narcotics,theft,other,Latitude,Longitude
2016.0,4.0,1.0,92.0,13.0,4.0,2.0,0,0,0,1,0,41.963070794000004,-87.655984213
2005.0,4.0,6.0,96.0,14.0,2.0,2.0,0,0,1,0,0,41.849943661,-87.705939808
2001.0,5.0,17.0,137.0,20.0,3.0,2.0,0,0,0,0,1,41.785972371,-87.592653814
2006.0,8.0,3.0,215.0,31.0,3.0,3.0,1,0,0,0,0,41.917124826999995,-87.729870079
2010.0,3.0,24.0,83.0,12.0,2.0,1.0,0,0,0,0,1,41.801538809,-87.61614523200001
2003.0,11.0,18.0,322.0,47.0,1.0,4.0,1,0,0,0,0,41.770525914000004,-87.63535148700001
2013.0,6.0,26.0,177.0,26.0,2.0,2.0,0,0,0,1,0,41.930049491999995,-87.68592073299999
2005.0,4.0,10.0,100.0,14.0,6.0,2.0,1,0,0,0,0,41.877962146,-87.72681638799999
2003.0,8.0,27.0,239.0,35.0,2.0,3.0,0,0,0,1,0,41.808131308,-87.70331819399998
2015.0,3.0,23.0,82.0,13.0,0.0,1.0,1,0,0,0,0,41.827076328000004,-87.62487881
2013.0,9.0,8.0,251.0,36.0,6.0,3.0,0,1,0,0,0,41.856104411,-87.65151259
2006.0,5.0,16.0,136.0,20.0,1.0,2.0,1,0,0,0,0,41.793199873,-87.673060283
2012.0,5.0,30.0,151.0,22.0,2.0,2.0,1,0,0,0,0,41.755405707,-87.647803985
2010.0,2.0,22.0,53.0,8.0,0.0,1.0,0,1,0,0,0,41.900312671,-87.68537268
2007.0,12.0,1.0,335.0,48.0,5.0,4.0,0,0,0,1,0,41.878556485,-87.66434262899998
2010.0,7.0,25.0,206.0,29.0,6.0,3.0,0,0,0,0,1,41.899588559,-87.746700581
2005.0,2.0,10.0,41.0,6.0,3.0,1.0,0,0,0,0,1,41.769230605,-87.575159176
2003.0,3.0,23.0,82.0,12.0,6.0,1.0,0,0,0,1,0,41.882394061999996,-87.627844798
2011.0,10.0,13.0,286.0,41.0,3.0,4.0,0,0,1,0,0,41.773292719000004,-87.674961844
2011.0,1.0,20.0,20.0,3.0,3.0,1.0,1,0,0,0,0,41.946542477,-87.73608437600002
2002.0,11.0,12.0,316.0,46.0,1.0,4.0,0,0,1,0,0,41.938778984,-87.75048377200001
2014.0,9.0,30.0,273.0,40.0,1.0,3.0,0,0,1,0,0,41.880654786,-87.73161242799999
2010.0,11.0,15.0,319.0,46.0,0.0,4.0,0,0,0,0,1,41.692425368,-87.636687099
2005.0,4.0,28.0,118.0,17.0,3.0,2.0,1,0,0,0,0,41.682593065,-87.61582756700001
2004.0,4.0,18.0,109.0,16.0,6.0,2.0,0,0,0,0,1,41.911844077,-87.644383823
2002.0,7.0,3.0,184.0,27.0,2.0,3.0,0,0,0,0,1,41.88977393,-87.74807581600002
2007.0,12.0,26.0,360.0,52.0,2.0,4.0,0,0,1,0,0,41.771120742,-87.659132842
2003.0,3.0,4.0,63.0,10.0,1.0,1.0,0,0,1,0,0,41.856920476999996,-87.733328968
2005.0,11.0,18.0,322.0,46.0,4.0,4.0,0,0,0,1,0,41.969330114,-87.65967969100002
2006.0,4.0,13.0,103.0,15.0,3.0,2.0,0,0,0,1,0,41.949092979,-87.643736581
2010.0,9.0,20.0,263.0,38.0,0.0,3.0,0,0,1,0,0,41.709017604,-87.621466787
2008.0,9.0,1.0,245.0,36.0,0.0,3.0,0,1,0,0,0,41.922854578,-87.772032969
2018.0,5.0,25.0,145.0,21.0,4.0,2.0,1,0,0,0,0,41.859065776,-87.706981285
2018.0,7.0,17.0,198.0,29.0,1.0,3.0,1,0,0,0,0,41.779202212,-87.68771522200001
2005.0,9.0,8.0,251.0,36.0,3.0,3.0,0,0,0,1,0,41.918919191,-87.684997092
2004.0,12.0,19.0,354.0,51.0,6.0,4.0,0,0,0,0,1,41.771763316,-87.69722220000001
2001.0,12.0,7.0,341.0,49.0,4.0,4.0,0,0,1,0,0,41.812077329,-87.664913785
2002.0,2.0,13.0,44.0,7.0,2.0,1.0,0,0,1,0,0,41.882205678000005,-87.767313865
2007.0,7.0,3.0,184.0,27.0,1.0,3.0,0,0,0,1,0,41.900951023000005,-87.632845606
2003.0,6.0,4.0,155.0,23.0,2.0,2.0,0,0,1,0,0,41.809303246,-87.700346598
2009.0,12.0,8.0,342.0,50.0,1.0,4.0,1,0,0,0,0,41.879390261,-87.754141338
2015.0,2.0,14.0,45.0,7.0,5.0,1.0,0,1,0,0,0,41.775584381,-87.745852271
2005.0,3.0,3.0,62.0,9.0,3.0,1.0,0,0,0,1,0,41.705677781999995,-87.600944364
2016.0,2.0,3.0,34.0,5.0,2.0,1.0,0,0,0,1,0,41.880366516,-87.6243529
